"rteNo","HUC4","BCR","TNC","bio1_5k_50_sd","bio1_5k_50_mean","bio1_5k_tri_50_mean","bio12_5k_50_sd","bio12_5k_50_mean","bio12_5k_tri_50_mean","biocloud1_5k_50_sd","biocloud1_5k_50_mean","biocloud1_5k_tri_50_mean","elevation_5k_50_sd","elevation_5k_50_mean","elevation_5k_tri_50_mean","soil_type_5k_50_diversity","soil_type_5k_50_mode","geological_age_5k_50_diversity","geological_age_5k_50_mode","human_footprint_5k_50_sd","human_footprint_5k_50_mean","human_footprint_5k_tri_50_mean","dhi_gpp_5k_50_sd","dhi_gpp_5k_50_mean","dhi_gpp_5k_tri_50_mean"
83309,"1211","TAMAULIPAN BRUSHLANDS","NA1312. Tamaulipan Thorn Scrub",0.57793576447602,24.95497984479,0.46647258682383,36.098830831385,599.68684632248,0.54817540529701,152.42536437766,5102.6952311198,40.049513498942,30.532493834455,144.60252365931,12.603312302839,0.657912698803113,21,0,80,9.8218870040068,16.681388012618,6.1342443729904,691.18647855558,7447.1698412698,644.18079652997
83016,"1211","TAMAULIPAN BRUSHLANDS","NA1312. Tamaulipan Thorn Scrub",0.67451118788792,24.08841549136,0.48602117184136,52.789678434562,679.22895660003,0.72979870314399,199.78416938617,5385.2435353597,68.607924567329,29.052191504114,93.396825396825,15.412301587302,0.789077012804346,21,0.10656595882802,80,11.262910455448,18.971428571429,6.963996763754,1159.1038558736,8427.4776357827,740.46265974441
83307,"1210","GULF COASTAL PRAIRIE","NA0701. Gulf Coast Prairies and Marshes",1.065978277416,23.238059136789,0.67980023125807,55.556232237038,825.9888338089,1.6311333373189,549.04392740907,5272.7633912094,118.9453418161,12.333989171752,18.626666666667,4.1939212328767,0.680747314107785,35,0.0759733598379222,72,20.650551674504,29.041474654378,9.2705399061033,2466.1716752522,9545.8608490566,1512.5421580189
83006,"1211","GULF COASTAL PRAIRIE","NA0701. Gulf Coast Prairies and Marshes",0.86780225899458,24.124552074282,0.72857790407927,47.354819503967,724.12089449012,1.7240731184897,524.38841708306,5026.5217940168,111.74941321892,11.433003465398,17.026785714286,4.2420774647887,0.925635652083018,35,0,72,21.977707773117,33.774647887324,12.365808823529,1965.5196476965,7718.9724770642,1498.1094470046
83005,"1211","TAMAULIPAN BRUSHLANDS","NA0701. Gulf Coast Prairies and Marshes",0.6732683604017,24.079136596229,0.5569606580668,38.652937591801,669.15140242047,1.0045254495409,315.3464054988,5365.3446858724,74.858465618557,28.124387639081,36.961805555556,5.6933333333333,1.11320807078334,21,0.317696542896179,72,15.576183338922,22.160839160839,9.8804545454545,1442.9721530536,8175.6130136986,1102.6464041096
83303,"1211","TAMAULIPAN BRUSHLANDS","NA1312. Tamaulipan Thorn Scrub",0.63868196514053,24.13138903794,0.39954775157902,30.368805067637,612.45077970293,0.5576124911507,127.04519552873,5387.8837263319,37.374847200182,65.403850326033,123.13375796178,11.479299363057,0.502321814635851,21,0.645654244231978,80,11.054732370954,15.394904458599,7.2363410596026,903.93112443214,7893.5891719745,564.68371815287
83302,"1211","GULF COASTAL PRAIRIE","NA1312. Tamaulipan Thorn Scrub",0.62273662549856,24.0519875716,0.57465522736311,41.627644587763,662.66688997878,1.1149021631314,413.36579737111,5282.9694349501,82.774226930406,21.218369604729,26.554006968641,4.7592147435897,1.15338658350265,5,0.132022998428635,72,13.073146781926,17.259927797834,8.0354330708661,1596.3274899504,8254.0802047782,1101.1779010239
83007,"1211","TAMAULIPAN BRUSHLANDS","NA1312. Tamaulipan Thorn Scrub",1.0147440256261,25.253662352086,0.39818371666802,23.777703395512,578.8478390144,0.59769978829556,157.65715848892,5227.4239112006,37.10851181878,53.085839167284,164.30914826498,15.101340694006,0.896137977627852,21,0.340738588167546,80,9.3068437830193,13.870662460568,5.8728885135135,734.4667824432,7257.0428571429,624.43927444795
83002,"1211","TAMAULIPAN BRUSHLANDS","NA1312. Tamaulipan Thorn Scrub",0.57084336777307,24.832884218344,0.43772457540035,30.419208523197,582.07124854459,0.76028109383252,148.74841430597,5520.1818355984,40.889343685574,50.044156465784,75.771428571429,9.168253968254,0.908820428739373,5,0.688903330447599,72,8.2201128945619,12.233974358974,4.7455197132616,1085.4905999792,7834.1003184713,742.78611111111
83357,"1114","WEST GULF COASTAL PLAIN/OUACHITAS","NA0522. Upper West Gulf Coastal Plain",0.6311237954371,18.937626367145,0.61755341216922,25.070802499925,1228.4785593629,0.9875681258738,99.577425157605,5295.7553894043,53.915629386902,17.852218573303,88.236363636364,13.022727272727,1.02268860554813,2,0.576826178537186,80,17.089909706435,33.272727272727,11.751515151515,2325.4727040832,11014.799050633,2302.2850079114
